,sources,t_x,i_x,j_x,k_x,v_x,q_x,t_y,q_y,q
24,China,351480,27144,74950,148013100,695091.026,258858.504,335154,17614.365,241204.719
129,United Arab Emirates,204020,79184,44596,85915650,25949.609,11516.915,179691,282.589,11232.182
110,Singapore,256540,89154,53981,108032550,289959.587,15616.919,234204,4400.848,11215.71
130,United Kingdom,296940,121422,62914,125045550,61264.584,2996.37,270546,1454.759,1539.929
51,Greece,92920,13800,20315,39129900,4723.655,1485.045,58551,388.926,1094.409
98,Poland,187860,57288,40356,79110450,57884.102,2313.905,167577,1481.165,831.656
62,Israel,153520,28576,32812,64649400,74808.381,1731.405,137292,1018.093,712.746
126,"USA, Puerto Rico and US Virgin Islands",313100,130510,64001,131850750,364225.284,5193.418,298812,4494.602,698.019
86,Netherlands,268660,70224,57906,113136450,66640.383,1656.863,238242,1090.192,566.011
25,"China, Hong Kong Special Administrative Region",220180,37496,45309,92720850,52842.433,1118.856,199881,854.166,248.765
13,Belgium,244420,6776,53810,102928650,42115.436,632.83,214014,458.154,174.146
63,Italy,216140,40767,45824,91019550,25428.117,423.136,193824,302.247,119.88
90,"Norway, Svalbard and Jan Mayen",171700,49215,36299,72305250,8296.352,173.198,137292,90.057,81.874
104,Russian Federation,66660,21219,14961,28071450,2621.22,106.451,48456,29.619,76.735
58,India,165640,57318,36812,69753300,1685.333,90.843,109026,29.095,51.27
134,Viet Nam,103020,35904,24693,43383150,6006.028,77.418,78741,27.649,47.801
36,Denmark,216140,22256,46856,91019550,12555.135,207.178,179691,162.309,44.366
92,"Other Asia, not elsewhere specified",161600,39200,33512,68052000,32031.012,373.358,131235,326.134,40.166
103,Romania,111100,35310,23793,46785750,21181.776,423.509,96912,383.952,39.211
99,Portugal,86860,26660,20133,36577950,924.42,88.261,48456,17.868,36.614
118,"Switzerland, Liechtenstein",218160,81756,46956,91870200,22148.108,236.246,201900,221.229,14.632
16,Brazil,103020,3876,20752,43383150,352.981,17.757,64608,6.241,10.801
67,Kenya,12120,2424,2660,5103900,9.618,15.152,6057,5.046,9.938
81,Mexico,131300,31460,27094,55292250,17288.56,348.749,102969,334.083,8.971
85,Namibia,14140,3612,2803,5954550,55.837,8.916,4038,0.018,8.203
49,Germany,286840,39192,60476,120792300,157388.136,2518.189,268527,2506.347,6.65
135,Zambia,8080,3576,1952,3402600,35.061,6.956,4038,0.029,6.027
4,Armenia,6060,153,1283,2551950,9.83,3.659,4038,0.009,3.649
127,Uganda,6060,2400,1016,2551950,10.597,5.922,2019,0.15,3
18,Bulgaria,90900,4500,20954,38279250,915.119,40.602,64608,34.648,2.907
37,Dominican Republic,12120,1284,2556,5103900,81.493,4.607,4038,1.993,2.521
108,Serbia,64640,22016,13120,27220800,208.725,3.795,38361,1.01,2.364
3,Argentina,14140,224,2887,5954550,30.445,1.871,6057,0.305,1.556
69,Kyrgyzstan,6060,1251,1447,2551950,3.31,1.067,2019,0.011,1.037
128,Ukraine,40400,16080,9007,17013000,189.242,2.292,24228,1.119,0.915
29,Croatia,46460,4393,10792,19564950,891.877,24.265,32304,23.512,0.669
12,Belarus,12120,672,3429,5103900,116.035,31.107,10095,30.754,0.352
17,Brunei Darussalam,4040,192,494,1701300,87.803,1.053,2019,0.692,0.328
80,Mauritius,10100,2400,2689,4253250,9.613,0.402,6057,0.053,0.282
87,New Zealand,42420,11634,8789,17863650,257.678,1.204,16152,0.512,0.254
48,Georgia,10100,1340,822,4253250,14.689,0.428,6057,0.307,0.119
83,Morocco,18180,4536,4837,7655850,19.64,27.442,10095,0.676,0.098
26,"China, Macao Special Administrative Region",2020,446,344,850650,6.194,0.108,2019,0.051,0.057
120,The Former Yugoslav Republic of Macedonia,4040,1614,758,1701300,2.961,0.066,4038,0.022,0.044
40,El Salvador,6060,666,1218,2551950,9.322,0.254,6057,0.212,0.042
7,Azerbaijan,6060,93,1565,2551950,4.842,0.018,4038,0.005,0.012
31,Cyprus,20200,1960,4507,8506500,3.673,0.023,8076,0.009,0.006
55,Guyana,8080,1312,1458,3402600,42.135,0.114,2019,0.002,0.003
132,Uruguay,8080,3432,2857,3402600,80.331,0.065,2019,0.001,0.001
84,Myanmar,4040,208,950,1701300,0.205,0.004,0,0,0
76,Madagascar,2020,450,251,850650,1.634,0.001,0,0,0
72,Lebanon,6060,1266,1946,2551950,127.764,3.329,0,0,0
77,Malawi,2020,454,710,850650,0.013,0.001,0,0,0
73,Libya,2020,434,470,850650,0.012,0.001,0,0,0
0,Albania,4040,16,1528,1701300,9.142,0.056,0,0,0
105,Saint Barthélemy,2020,652,757,850650,0.224,0.001,0,0,0
88,Niger,2020,562,784,850650,3.458,0.17,0,0,0
91,Oman,2020,512,699,850650,69.244,1.129,0,0,0
93,Pakistan,2020,586,76,850650,0.099,0.002,0,0,0
97,Plurinational State of Bolivia,8080,272,1170,3402600,16.597,0.097,0,0,0
102,Republic of Moldova,4040,996,1259,1701300,1.456,0.003,0,0,0
106,Saudi Arabia,18180,6138,4436,7655850,641.392,8.345,0,0,0
107,Senegal,10100,3430,1659,4253250,9.93,5.294,0,0,0
109,Seychelles,4040,1380,1610,1701300,24.626,0.194,0,0,0
116,State of Palestine,2020,275,376,850650,7.244,0.087,0,0,0
121,Timor-Leste,2020,626,124,850650,0.016,0.002,0,0,0
125,Turks and Caicos Islands,2020,796,51,850650,0.004,0.002,0,0,0
133,Uzbekistan,2020,860,784,850650,0.68,0.075,0,0,0
70,Lao People's Dem. Rep.,2020,418,124,850650,0.024,0.001,2019,0.001,0
136,Zimbabwe,2020,716,554,850650,2.161,0.035,0,0,0
1,Algeria,2020,12,251,850650,0.373,0.001,0,0,0
20,Cameroon,2020,120,757,850650,0.181,0.003,0,0,0
35,Democratic Republic of the Congo,6060,540,500,2551950,3.691,5.215,0,0,0
34,Democratic People's Republic of Korea,4040,816,686,1701300,2.128,0.007,0,0,0
47,Gabon,2020,266,372,850650,3.21,0.017,0,0,0
50,Ghana,2020,288,716,850650,0.057,0.001,0,0,0
52,Guam,2020,316,608,850650,2.416,0.039,0,0,0
33,Côte d'Ivoire,4040,768,1382,1701300,0.33,0.055,0,0,0
54,Guinea-Bissau,2020,624,566,850650,0.274,0.044,0,0,0
30,Curaçao,2020,531,52,850650,2.788,0.364,0,0,0
22,Cayman Islands,4040,272,576,1701300,0.868,0.09,0,0,0
60,Iran,4040,728,829,1701300,0.326,0.013,0,0,0
19,Cambodia,8080,464,1806,3402600,3.063,7.15,0,0,0
11,Barbados,4040,104,1319,1701300,0.94,0.004,2019,0.002,0
10,Bangladesh,4040,100,1420,1701300,0.042,0.003,0,0,0
64,Jamaica,6060,1164,1423,2551950,10.457,0.3,0,0,0
8,Bahamas,2020,44,528,850650,18.004,0.097,0,0,0
2,Angola,2020,24,478,850650,9.657,25.957,0,0,0
42,Ethiopia,2020,231,566,850650,1.241,0.402,0,0,0
43,Fiji,4040,484,590,1701300,38.874,0.633,2019,0.021,-0.008
5,Australia,149480,2664,33833,62948100,2551.704,30.041,104988,27.797,-0.009
89,Niue,2020,570,442,850650,2.691,0.03,2019,0.053,-0.023
46,French Polynesia,4040,516,1008,1701300,1.258,0.021,2019,0.045,-0.026
131,United Republic of Tanzania,8080,3336,1341,3402600,0.967,0.199,2019,0.09,-0.06
115,Sri Lanka,14140,1008,3778,5954550,53.63,0.169,6057,0.085,-0.063
38,Ecuador,4040,436,246,1701300,31.754,0.08,4038,0.203,-0.123
14,Bosnia Herzegovina,12120,420,2294,5103900,10.765,0.202,10095,0.308,-0.151
95,Peru,12120,3624,3403,5103900,223.051,8.017,4038,0.307,-0.179
100,Qatar,4040,1268,1265,1701300,12.902,0.201,2019,0.214,-0.194
39,Egypt,10100,4090,1768,4253250,12.889,0.273,2019,0.301,-0.28
