,targets,t_x,i_x,j_x,k_x,v_x,q_x,t_y,q_y,q
129,Netherlands,135340,29145,35376,56993550,94331.269,24462.802,117102.0,1296.468,23165.316
151,Republic of Korea,82820,18964,16810,34876650,44017.527,21539.131999999998,70665.0,346.275,21192.718
200,United Kingdom,117160,26500,47908,49337700,92412.623,21056.295000000002,102969.0,1786.912,19268.836
169,Singapore,101000,20855,35100,42532500,169496.808,18115.169,90855.0,1467.158,16640.365
154,Russian Federation,96960,20753,30864,40831200,33285.296,16839.051,88836.0,420.19599999999997,16418.704
40,China,94940,23014,7332,39980550,174617.43300000002,14333.538,78741.0,1543.656,12782.749000000002
26,Brazil,98980,21446,3724,41681850,16720.112,12685.544,82779.0,369.972,12315.467
148,Poland,107060,23313,32648,45084450,82631.557,13240.98,92874.0,1329.174,11911.725999999999
35,Canada,92920,21529,5704,39129900,60858.153999999995,13118.428000000002,80760.0,2006.601,11103.917000000001
139,"Other Asia, not elsewhere specified",66660,15418,16170,28071450,33363.157,10829.916,62589.0,259.802,10568.961000000001
121,Mexico,76760,16835,18392,32324700,143983.764,12472.937,58551.0,3001.7490000000003,9471.034000000001
69,"France, Monaco",127260,28610,15813,53590950,66152.561,8705.577,100950.0,1320.347,7383.63
193,Turkey,86860,20220,34056,36577950,14377.24,6715.943,70665.0,209.949,6505.534000000001
54,Denmark,92920,20412,9568,39129900,24186.605,6288.922,86817.0,413.572,5875.223999999999
140,Pakistan,50500,12083,14650,21266250,2355.794,5852.8769999999995,38361.0,45.307,5807.331999999999
182,Sweden,98980,22789,36848,41681850,28012.498,5911.659,80760.0,292.948,5617.963
97,Japan,80800,17975,15680,34026000,57737.06,5854.045999999999,72684.0,1017.3599999999999,4836.563
95,Italy,96960,21744,18288,40831200,80071.59,5663.548000000001,86817.0,1102.879,4560.439
176,Spain,103020,22933,36924,43383150,25490.783,5019.536,84798.0,581.175,4438.089
10,Australia,86860,19869,1548,36577950,26960.228,4485.656999999999,72684.0,674.664,3810.048
186,Thailand,78780,17458,29796,33175350,26451.34,3742.219,70665.0,265.218,3476.625
164,Saudi Arabia,74740,17152,25234,31474050,16540.727,3475.5840000000003,60570.0,78.042,3397.213
15,Bangladesh,24240,6923,600,10207800,1425.653,3179.096,20190.0,47.89,3129.556
146,Philippines,68680,16026,20672,28922100,29410.115,3504.84,50475.0,508.55,2996.115
59,Egypt,68680,16785,27812,28922100,3655.265,2921.158,50475.0,33.966,2885.248
199,United Arab Emirates,109080,26025,42336,45935100,36216.466,3418.735,80760.0,611.516,2804.366
91,Iran,16160,3969,2912,6805200,1030.541,2829.297,14133.0,46.343,2782.161
94,Israel,72720,16096,13536,30623400,12008.049,2468.33,52494.0,78.60499999999999,2389.389
206,Viet Nam,70700,15516,24640,29772750,100253.132,2541.787,50475.0,154.327,2385.9809999999998
68,Finland,80800,18142,9840,34026000,8785.142,2257.598,78741.0,79.344,2178.2529999999997
34,Cameroon,28280,6703,1680,11909100,491.652,2191.536,20190.0,13.966000000000001,2177.557
134,Nigeria,66660,15819,18678,28071450,2015.675,2186.176,56532.0,87.856,2097.846
11,Austria,92920,21297,1840,39129900,23391.038,2183.736,88836.0,398.32599999999996,1785.4060000000002
174,South Africa,82820,18978,29110,34876650,5624.316,1951.723,76722.0,192.503,1744.4679999999998
55,Djibouti,12120,3116,1572,5103900,420.491,1452.853,10095.0,2.62,1449.683
183,"Switzerland, Liechtenstein",109080,24134,40878,45935100,66693.345,1842.565,94893.0,405.194,1437.356
92,Iraq,32320,7343,5888,13610400,1619.278,1305.737,24228.0,33.508,1272.1200000000001
51,Czechia,84840,18844,8526,35727300,39374.869,2021.554,78741.0,764.04,1257.202
87,Hungary,88880,20472,15312,37428600,16756.364999999998,1412.208,76722.0,260.216,1151.8600000000001
