,targets,t_x,i_x,j_x,k_x,v_x,q_x,t_y,q_y,q
114,Malaysia,74740,15925,16946,31474050,214391.22,2409.22,66627.0,1286.048,1122.772
2,Algeria,36360,8607,216,15311700,1302.811,1045.6470000000002,34323.0,14.332,1031.31
201,United Republic of Tanzania,30300,6656,12510,12759750,289.698,1057.239,20190.0,64.574,992.2249999999999
196,"USA, Puerto Rico and US Virgin Islands",127260,27682,53046,53590950,336022.29000000004,5233.408,117102.0,4245.799,987.4069999999999
153,Romania,74740,16226,23754,31474050,39216.415,2018.63,70665.0,1056.934,961.649
90,Indonesia,62620,14814,11160,26370150,13680.556,1046.845,52494.0,127.59100000000001,919.225
18,Belgium,90900,22048,2520,38279250,49563.699,2227.154,80760.0,1336.015,891.0399999999998
77,Greece,78780,17255,11700,33175350,3139.134,894.4459999999999,62589.0,91.119,803.163
165,Senegal,34340,8165,11662,14461050,495.521,780.7969999999999,24228.0,23.305,755.125
137,"Norway, Svalbard and Jan Mayen",111100,25046,31845,46785750,38376.395,1114.412,96912.0,418.25100000000003,695.784
109,Libya,30300,6750,6510,12759750,252.952,680.735,24228.0,9.303,671.427
198,Ukraine,80800,17394,32160,34026000,6980.794,744.173,70665.0,81.78999999999999,661.832
170,Slovakia,82820,18571,28823,34876650,12253.346,974.158,76722.0,341.103,633.017
29,Bulgaria,74740,16060,3700,31474050,4033.679,690.7860000000001,60570.0,80.40700000000001,606.595
4,Angola,32320,8212,384,13610400,1285.991,660.601,30285.0,60.006,600.568
166,Serbia,86860,19896,29584,36577950,1899.6789999999999,588.63,78741.0,26.791,561.83
89,India,80800,19259,27960,34026000,24098.091,854.991,62589.0,407.884,445.558
63,Estonia,78780,17987,9087,33175350,2859.282,454.44300000000004,68646.0,48.17,406.26200000000006
131,New Zealand,70700,15761,19390,29772750,5993.764999999999,397.965,52494.0,21.582,374.61
43,Colombia,66660,14196,5610,28071450,2489.9739999999997,390.703,56532.0,80.911,309.74699999999996
100,Kenya,58580,13044,11716,24668850,737.3100000000001,244.324,48456.0,20.631999999999998,223.64200000000002
75,Ghana,36360,7742,5184,15311700,299.194,230.24699999999999,30285.0,43.620999999999995,186.62199999999999
208,Yemen,14140,3328,6209,5954550,158.404,186.142,8076.0,2.213,183.75099999999998
203,Uzbekistan,46460,10749,19780,19564950,10416.526000000002,240.353,34323.0,58.815000000000005,180.643
192,Tunisia,40400,9999,15760,17013000,1938.014,219.364,38361.0,43.016,176.34600000000003
72,Gambia,18180,4602,2430,7655850,111.30699999999999,199.36499999999998,12114.0,9.027999999999999,165.791
99,Kazakhstan,64640,14599,12736,27220800,1584.713,203.434,56532.0,49.138000000000005,154.11100000000002
143,Papua New Guinea,12120,2515,3588,5103900,593.8929999999999,161.398,8076.0,8.14,153.256
58,Ecuador,62620,13339,6758,26370150,735.9240000000001,164.069,44418.0,14.466000000000001,148.29799999999997
60,El Salvador,44440,9799,4884,18714300,1325.616,189.904,36342.0,49.327,140.255
149,Portugal,76760,17541,23560,32324700,6308.627,284.08,62589.0,150.878,132.10000000000002
0,Afghanistan,12120,3367,24,5103900,12859.365,143.49300000000002,8076.0,24.66,118.46200000000002
110,Lithuania,66660,13959,14520,28071450,4582.876,210.05499999999998,58551.0,93.678,114.07399999999998
142,Panama,42420,9556,12411,17863650,1141.2830000000001,128.83599999999998,36342.0,16.235999999999997,111.788
7,Argentina,74740,15784,1184,31474050,5613.18,327.55,68646.0,215.85399999999998,111.687
184,Syria,12120,2608,4560,5103900,147.36,133.71,6057.0,1.604,106.97599999999998
17,Belarus,62620,12609,3472,26370150,3373.036,166.724,56532.0,69.877,96.569
12,Azerbaijan,68680,15152,1054,28922100,1906.904,117.233,60570.0,21.079,96.144
145,Peru,64640,13684,19328,27220800,1231.802,129.905,56532.0,37.662,92.163
105,Latvia,58580,12810,12412,24668850,4511.833,152.214,54513.0,60.964,91.014
113,Malawi,40400,11027,9080,17013000,127.731,122.045,22209.0,33.946,80.986
125,Mozambique,30300,7802,7620,12759750,337.181,407.43399999999997,18171.0,332.36,74.58100000000002
73,Georgia,46460,10651,6164,19564950,305.908,87.929,40380.0,13.902,73.803
194,Turkmenistan,18180,5260,7155,7655850,125.839,70.11999999999999,16152.0,0.329,69.615
74,Germany,123220,27311,16836,51889650,197216.607,3399.708,111045.0,3331.048,68.49099999999999
189,Togo,18180,5297,6912,7655850,57.166,75.337,10095.0,1.553,67.777
112,Madagascar,32320,7537,7200,13610400,197.91400000000002,83.39999999999999,22209.0,15.841999999999999,67.31899999999999
98,Jordan,42420,9750,8400,17863650,503.519,85.083,32304.0,18.855999999999998,66.065
8,Armenia,40400,9211,1020,17013000,469.15200000000004,68.368,30285.0,3.2800000000000002,65.079
202,Uruguay,58580,11873,24882,24668850,2797.3109999999997,85.272,46437.0,24.076,60.489000000000004
57,Dominican Republic,46460,11211,4922,19564950,906.951,72.082,36342.0,12.646999999999998,59.407999999999994
47,Croatia,70700,15275,6685,29772750,3137.033,97.08,64608.0,40.086999999999996,56.891999999999996
191,Trinidad and Tobago,20200,5173,7800,8506500,703.683,61.047,14133.0,8.229,52.782
62,Eritrea,6060,1530,696,2551950,70.374,107.681,4038.0,58.198,49.410999999999994
96,Jamaica,24240,4164,4656,10207800,246.695,50.58,12114.0,8.120000000000001,42.117
124,Morocco,60600,14007,15120,25519500,2634.3999999999996,87.298,48456.0,48.88,38.327999999999996
93,Ireland,84840,18515,15624,35727300,42923.863,385.163,70665.0,342.908,38.04599999999999
130,New Caledonia,16160,2621,4320,6805200,135.199,44.275999999999996,14133.0,6.738,37.467999999999996
52,Côte d'Ivoire,36360,9184,6912,15311700,121.886,96.02300000000001,26247.0,64.13199999999999,31.86800000000001
33,Cambodia,18180,4261,1044,7655850,2899.574,47.018,12114.0,16.636,30.273
46,Costa Rica,60600,13228,5640,25519500,1162.942,67.313,42399.0,38.078,28.735
48,Cuba,20200,4126,1920,8506500,340.987,64.29199999999999,14133.0,37.992000000000004,26.254999999999995
197,Uganda,32320,6850,12800,13610400,170.436,43.775,18171.0,17.68,25.631
85,Haiti,10100,1476,1660,4253250,109.69,27.328000000000003,6057.0,1.916,25.41
122,Mongolia,32320,7383,7936,13610400,129.29500000000002,27.581,28266.0,4.09,23.45
1,Albania,38380,7817,152,16162350,225.864,32.527,24228.0,9.536,22.006
50,Cyprus,58580,13740,5684,24668850,1077.567,54.955999999999996,46437.0,29.264999999999997,21.569
138,Oman,40400,9122,10240,17013000,3394.836,85.813,28266.0,65.41,20.335
16,Barbados,32320,6516,832,13610400,497.72999999999996,27.877,24228.0,7.238,19.951999999999998
173,Somalia,10100,3141,3530,4253250,16.653,19.797,2019.0,0.165,19.220000000000002
158,Saint Lucia,4040,998,1324,1701300,104.85400000000001,20.093,4038.0,1.77,18.323
179,Sudan,18180,4116,6561,7655850,69.928,19.066000000000003,10095.0,0.9259999999999999,17.860000000000003
204,Vanuatu,10100,1576,2740,4253250,20.836,17.353,4038.0,0.014,17.334
168,Sierra Leone,8080,1246,2776,3402600,54.525,18.395,6057.0,1.277,17.117
88,Iceland,78780,16657,13728,33175350,821.066,46.434000000000005,62589.0,30.156,16.083000000000002
103,Kyrgyzstan,28280,6757,5838,11909100,165.94,17.59,24228.0,4.3709999999999996,13.184000000000001
86,Honduras,10100,1921,1700,4253250,93.76599999999999,25.477,8076.0,12.642,12.785
61,Equatorial Guinea,12120,3327,1356,5103900,21.468,13.436,8076.0,0.344,11.44
67,Fiji,14140,2334,1694,5954550,135.06199999999998,12.613,10095.0,1.145,11.381
152,Republic of Moldova,52520,12425,12948,22116900,417.549,15.635000000000002,42399.0,4.496,10.438
177,Sri Lanka,50500,13065,3600,21266250,589.145,42.827,38361.0,31.872,10.43
45,Congo,34340,7351,3026,14461050,136.766,19.274,28266.0,3.405,10.149
108,Liberia,16160,2902,3440,6805200,67.102,11.893,8076.0,1.801,9.853
104,Lao People's Dem. Rep.,14140,3444,2926,5954550,55.114,8.942,8076.0,0.635,8.168000000000001
42,"China, Macao Special Administrative Region",12120,2251,2676,5103900,49.86,8.712,6057.0,0.901,7.785
65,Falkland Islands (Malvinas),2020,826,238,850650,93.167,12.82,2019.0,6.62,6.2
123,Montenegro,56560,12417,13972,23818200,204.637,12.860999999999999,50475.0,8.147,4.696
13,Bahamas,22220,4699,484,9357150,1318.817,4.879,8076.0,0.497,4.171
106,Lebanon,42420,10844,8862,17863650,357.339,38.028999999999996,42399.0,34.312,3.7170000000000005
175,South Sudan,12120,2895,4368,5103900,25.979,4.428,6057.0,0.22799999999999998,3.496
185,Tajikistan,16160,3526,6096,6805200,13.516,4.005,6057.0,0.6890000000000001,3.281
64,Ethiopia,38380,9008,4389,16162350,184.651,14.857,30285.0,11.527000000000001,3.2509999999999986
9,Aruba,8080,1502,2132,3402600,51.695,3.549,6057.0,0.352,3.1940000000000004
71,Gabon,26260,5146,3458,11058450,187.421,10.494000000000002,22209.0,7.804,2.643000000000001
188,Timor-Leste,4040,738,1252,1701300,16.538,2.504,4038.0,0.075,2.429
6,Antigua and Barbuda,4040,918,56,1701300,206.98600000000002,2.335,2019.0,0.128,2.1559999999999997
20,Benin,14140,3062,1428,5954550,33.233000000000004,2.465,12114.0,0.398,2.065
31,Burundi,18180,4206,972,7655850,306.259,38.021,8076.0,2.7359999999999998,1.636
157,Saint Kitts and Nevis,8080,1174,2636,3402600,302.95500000000004,3.552,2019.0,0.235,1.601
84,Guyana,26260,5803,4264,11058450,631.234,44.565,18171.0,41.184,1.189
117,Malta,58580,12735,13630,24668850,374.113,9.172,48456.0,8.191,0.9709999999999999
159,Saint Maarten (Dutch part),6060,1149,1602,2551950,95.234,1.0379999999999998,4038.0,0.155,0.8799999999999999
80,Guam,2020,702,316,850650,36.499,0.939,2019.0,0.084,0.855
19,Belize,6060,1318,252,2551950,30.078,1.788,6057.0,1.149,0.639
37,Central African Republic,4040,264,280,1701300,23.499000000000002,1.0459999999999998,4038.0,0.5630000000000001,0.4829999999999999
82,Guinea,16160,3643,2592,6805200,79.97,6.6370000000000005,10095.0,1.0510000000000002,0.46900000000000003
180,Suriname,6060,1526,2220,2551950,126.441,3.596,6057.0,3.21,0.38600000000000056
3,Andorra,12120,2169,120,5103900,17.916,0.885,8076.0,0.589,0.294
163,Sao Tome and Principe,4040,776,1356,1701300,2.01,0.396,2019.0,0.012,0.29
162,San Marino,4040,1340,1348,1701300,19.873,0.947,4038.0,0.723,0.224
49,Curaçao,12120,2113,3186,5103900,57.717,0.41100000000000003,8076.0,0.211,0.18800000000000003
161,Saint Vincent and the Grenadines,4040,1668,1340,1701300,20.418,0.216,2019.0,0.001,0.187
160,Saint Pierre and Miquelon,4040,375,1332,1701300,17.822,0.217,4038.0,0.038,0.179
172,Solomon Islands,4040,590,180,1701300,19.895,0.214,2019.0,0.034,0.177
118,Marshall Islands,10100,1794,2920,4253250,39.373,0.518,8076.0,0.351,0.15999999999999992
83,Guinea-Bissau,2020,620,624,850650,1.497,0.065,2019.0,0.027,0.038000000000000006
22,Bhutan,8080,1765,256,3402600,9.658999999999999,0.39299999999999996,4038.0,0.06,0.031
135,Niue,2020,554,570,850650,4.951,0.053,2019.0,0.024,0.028999999999999998
207,Wallis and Futuna Islands,2020,554,876,850650,0.408,0.004,0.0,0.0,0.0
190,Tonga,2020,156,776,850650,0.892,0.004,0.0,0.0,0.0
136,Norfolk Islands,4040,590,1148,1701300,15.78,0.169,0.0,0.0,0.0
27,British Virgin Islands,2020,842,92,850650,7.99,0.088,0.0,0.0,0.0
141,Palau,4040,858,1170,1701300,5.359,0.015,0.0,0.0,0.0
5,Anguilla,2020,52,660,850650,0.71,0.002,2019.0,0.002,0.0
66,Federated State of Micronesia,2020,702,583,850650,0.743,0.05,0.0,0.0,0.0
23,"Bonaire, Saint Eustatius and Saba",6060,1410,1605,2551950,16.206,0.061,4038.0,0.043000000000000003,-0.007000000000000001
101,Kiribati,8080,1090,1184,3402600,3.091,0.056,2019.0,0.025,-0.007000000000000003
195,Turks and Caicos Islands,4040,966,1592,1701300,24.013,0.051000000000000004,2019.0,0.022,-0.019
56,Dominica,2020,842,212,850650,4.204,0.012,2019.0,0.075,-0.063
133,Niger,16160,3650,4496,6805200,24.11,0.773,8076.0,0.9480000000000001,-0.19499999999999995
78,Greenland,8080,1591,1216,3402600,69.136,2.186,6057.0,2.626,-0.46999999999999986
38,Chad,2020,251,148,850650,0.489,0.03,2019.0,0.598,-0.568
187,The Former Yugoslav Republic of Macedonia,60600,12918,24210,25519500,259.478,7.3500000000000005,52494.0,7.926,-0.6049999999999998
21,Bermuda,10100,2527,300,4253250,134.369,0.874,8076.0,1.518,-0.651
132,Nicaragua,50500,11275,13950,21266250,268.29,10.036000000000001,32304.0,5.552,-0.7049999999999998
24,Bosnia Herzegovina,66660,15618,2310,28071450,442.291,16.625,60570.0,17.326999999999998,-0.7110000000000003
28,Brunei Darussalam,44440,9082,2112,18714300,464.356,6.4399999999999995,30285.0,7.053,-0.7440000000000002
32,Cabo Verde,20200,4477,1320,8506500,23.142,40.928000000000004,10095.0,2.681,-0.7519999999999999
178,State of Palestine,24240,5747,3300,10207800,79.985,1.154,14133.0,1.868,-0.819
79,Grenada,8080,1948,1232,3402600,61.815999999999995,1.24,8076.0,2.291,-1.0510000000000002
44,Comoros,4040,1035,348,1701300,0.5640000000000001,0.682,4038.0,1.944,-1.262
156,Saint Helena,4040,1536,1308,1701300,12.116999999999999,1.171,2019.0,1.272,-1.268
205,Venezuela,6060,1112,2586,2551950,46.632999999999996,0.6060000000000001,2019.0,1.877,-1.411
171,Slovenia,92920,20470,32430,39129900,3158.723,65.855,74703.0,67.69,-1.992
147,Plurinational State of Bolivia,52520,11270,1768,22116900,502.015,14.18,44418.0,17.144000000000002,-3.002
144,Paraguay,38380,7435,11400,16162350,319.05,30.851,32304.0,30.692,-3.1730000000000014
36,Cayman Islands,8080,2403,544,3402600,43.916999999999994,0.369,6057.0,4.017,-3.686
128,Nepal,4040,1401,1048,1701300,64.621,0.735,4038.0,4.531999999999999,-3.7969999999999997
111,Luxembourg,64640,14606,14144,27220800,3244.735,24.224,48456.0,30.137,-5.934000000000001
155,Rwanda,8080,1721,2584,3402600,3.289,0.031,4038.0,8.669,-8.641
126,Myanmar,32320,7982,1664,13610400,983.126,8.007,20190.0,20.181,-12.259
14,Bahrain,36360,8452,864,15311700,1957.45,8.443999999999999,28266.0,25.752000000000002,-18.033
115,Maldives,18180,4598,4158,7655850,126.03200000000001,7.003,18171.0,26.186999999999998,-19.183999999999997
116,Mali,22220,4783,5126,9357150,49.274,7.049,20190.0,30.147,-23.101
150,Qatar,48480,10944,15216,20415600,4677.7,30.563,38361.0,56.242000000000004,-25.957
70,French Polynesia,32320,6681,4128,13610400,268.29200000000003,49.835,20190.0,76.024,-26.507999999999996
76,Gibraltar,8080,2286,1168,3402600,743.424,105.53200000000001,6057.0,132.457,-26.932999999999986
81,Guatemala,48480,9903,7680,20415600,634.768,73.266,30285.0,98.864,-27.902000000000008
119,Mauritania,18180,4059,4302,7655850,40.636,26.8,14133.0,30.372,-29.628999999999998
30,Burkina Faso,32320,7149,13664,13610400,90.499,21.142000000000003,22209.0,59.141999999999996,-38.388
102,Kuwait,66660,14859,13662,28071450,3286.7929999999997,29.18,48456.0,70.251,-41.645
167,Seychelles,34340,8090,11730,14461050,197.597,16.207,22209.0,65.624,-53.233000000000004
120,Mauritius,40400,9765,9600,17013000,1626.4560000000001,79.55499999999999,30285.0,105.092,-99.074
39,Chile,88880,20220,6688,37428600,3736.809,250.471,76722.0,438.439,-188.252
210,Zimbabwe,36360,8661,12888,15311700,272.467,26.979,24228.0,387.731,-366.51899999999995
181,Swaziland,12120,3096,4488,5103900,104.81700000000001,3.238,10095.0,735.1669999999999,-731.953
107,Lesotho,6060,2320,1278,2551950,61.93899999999999,8.471,4038.0,1652.989,-1644.608
53,Democratic Republic of the Congo,38380,9278,3420,16162350,259.31600000000003,356.039,26247.0,2043.827,-1690.62
209,Zambia,38380,8715,16986,16162350,127.675,6.891,22209.0,2096.564,-2090.6519999999996
25,Botswana,24240,6319,864,10207800,536.006,51.157,18171.0,4603.514999999999,-4552.487
127,Namibia,42420,9755,10836,17863650,844.254,239.80399999999997,16152.0,8842.955000000002,-8606.597000000002
41,"China, Hong Kong Special Administrative Region",74740,16984,12728,31474050,230068.353,4226.493,68646.0,13953.152,-9726.747000000001
